record_type,source_run,timestamp (UTC),timestamp (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return,published_at,source_domain,title,description,url,keyword
price,NVDA_2025-10-1,2025-10-01 14:00:00+00:00,2025-10-01 10:00:00,184.19,187.865,184.02,187.21,36480654.0,0.0,,,,,,,
price,NVDA_2025-10-1,2025-10-01 15:00:00+00:00,2025-10-01 11:00:00,187.2,187.86,186.42,187.2699,20096545.0,0.000319961540516,0.0003199103637392,,,,,,
price,NVDA_2025-10-1,2025-10-01 16:00:00+00:00,2025-10-01 12:00:00,187.27,187.53,186.48,187.0856,12919230.0,-0.0006644944180332,-0.0009846256560397,,,,,,
price,NVDA_2025-10-1,2025-10-01 17:00:00+00:00,2025-10-01 13:00:00,187.085,188.14,187.02,187.525,18046733.0,0.0016826024250842,0.0023459037278241,,,,,,
price,NVDA_2025-10-1,2025-10-01 18:00:00+00:00,2025-10-01 14:00:00,187.52,187.9,187.3,187.4093,9704390.0,0.0010645798835531,-0.0006171748152814,,,,,,
price,NVDA_2025-10-1,2025-10-01 19:00:00+00:00,2025-10-01 15:00:00,187.405,187.605,186.36,187.17,20889622.0,-0.0002136638000107,-0.0012777002496138,,,,,,
price,NVDA_2025-10-1,2025-10-01 20:00:00+00:00,2025-10-01 16:00:00,187.18,187.4,186.86,186.88,4516554.0,-0.0017627263500882,-0.0015505951509426,,,,,,
price,NVDA_2025-10-1,2025-10-02 14:00:00+00:00,2025-10-02 10:00:00,189.28,190.44,188.98,189.26,26709963.0,0.0109502697505474,0.0126550314402242,,,,,,
price,NVDA_2025-10-1,2025-10-02 15:00:00+00:00,2025-10-02 11:00:00,189.27,189.99,188.9,189.63,17268948.0,0.0129266599006463,0.0019530740722304,,,,,,
price,NVDA_2025-10-1,2025-10-02 16:00:00+00:00,2025-10-02 12:00:00,189.625,189.63,188.77,189.425,11757386.0,0.0118316329255916,-0.00108163733488,,,,,,
price,NVDA_2025-10-1,2025-10-02 17:00:00+00:00,2025-10-02 13:00:00,189.42,189.435,188.75,188.76,8286572.0,0.0082794722504138,-0.0035168009592503,,,,,,
price,NVDA_2025-10-1,2025-10-02 18:00:00+00:00,2025-10-02 14:00:00,188.76,189.215,188.61,188.9074,9159952.0,0.0090668233534532,0.0007805810482155,,,,,,
price,NVDA_2025-10-1,2025-10-02 19:00:00+00:00,2025-10-02 15:00:00,188.9,189.305,188.06,188.92,16347330.0,0.0091341274504566,6.669712151374796e-05,,,,,,
price,NVDA_2025-10-1,2025-10-02 20:00:00+00:00,2025-10-02 16:00:00,188.89,189.2977,188.42,188.63,1228380.0,0.0075850649003792,-0.0015362206702826,,,,,,
price,NVDA_2025-10-1,2025-10-03 14:00:00+00:00,2025-10-03 10:00:00,188.91,189.575,188.33,189.34,19464379.0,0.0113775973505687,0.0037569163431117,,,,,,
price,NVDA_2025-10-1,2025-10-03 15:00:00+00:00,2025-10-03 11:00:00,189.33,189.8,188.72,189.0,13702108.0,0.0095614550504781,-0.0017973256411023,,,,,,
